Path 1:
  0.4520, -4.6735, 0.8190, 0.4520, -4.6735, 0.8190, 2.0000
  0.6520, -4.8735, 0.9144, 0.6520, -4.8735, 0.9144, 1.6000
  0.8520, -5.0735, 0.9473, 0.8520, -5.0735, 0.9473, 1.2800
  0.6520, -5.2735, 0.6024, 0.8520, -5.0735, 0.9473, 1.0240
  0.8520, -5.2735, 0.7557, 0.8520, -5.0735, 0.9473, 0.8192
  1.0520, -5.0735, 1.1429, 1.0520, -5.0735, 1.1429, 0.6554
  0.8520, -5.0735, 0.9473, 1.0520, -5.0735, 1.1429, 0.5243
  0.8520, -5.2735, 0.7557, 1.0520, -5.0735, 1.1429, 0.4194
  0.8520, -5.4735, 0.5823, 1.0520, -5.0735, 1.1429, 0.3355
  0.6520, -5.4735, 0.4634, 1.0520, -5.0735, 1.1429, 0.2684
  0.8520, -5.6735, 0.4348, 1.0520, -5.0735, 1.1429, 0.2147
  1.0520, -5.8735, 0.3864, 1.0520, -5.0735, 1.1429, 0.1718
  1.2520, -6.0735, 0.3334, 1.0520, -5.0735, 1.1429, 0.1374
  1.2520, -6.2735, 0.2455, 1.0520, -5.0735, 1.1429, 0.1100
  1.4520, -6.4735, 0.2286, 1.0520, -5.0735, 1.1429, 0.0880
  1.6520, -6.2735, 0.3406, 1.0520, -5.0735, 1.1429, 0.0704
  1.4520, -6.0735, 0.3876, 1.0520, -5.0735, 1.1429, 0.0563
  1.2520, -6.2735, 0.2455, 1.0520, -5.0735, 1.1429, 0.0450
  1.0520, -6.2735, 0.2015, 1.0520, -5.0735, 1.1429, 0.0360
  1.0520, -6.0735, 0.2788, 1.0520, -5.0735, 1.1429, 0.0288
  0.8520, -6.2735, 0.1610, 1.0520, -5.0735, 1.1429, 0.0231
  0.8520, -6.4735, 0.1167, 1.0520, -5.0735, 1.1429, 0.0184
  0.8520, -6.2735, 0.1610, 1.0520, -5.0735, 1.1429, 0.0148
  1.0520, -6.4735, 0.1492, 1.0520, -5.0735, 1.1429, 0.0118
  1.2520, -6.2735, 0.2455, 1.0520, -5.0735, 1.1429, 0.0094
  1.4520, -6.4735, 0.2286, 1.0520, -5.0735, 1.1429, 0.0076
  1.6520, -6.4735, 0.2762, 1.0520, -5.0735, 1.1429, 0.0060
  1.4520, -6.4735, 0.2286, 1.0520, -5.0735, 1.1429, 0.0048
  1.6520, -6.6735, 0.2377, 1.0520, -5.0735, 1.1429, 0.0039
  1.4520, -6.4735, 0.2286, 1.0520, -5.0735, 1.1429, 0.0031
  1.2520, -6.6735, 0.1493, 1.0520, -5.0735, 1.1429, 0.0025

